group_id,post_id,group_name,target_comments,crawled_comments,percent_crawled
183774529022936,2181619605905075,HỘI REVIEW BỈM SỮA CHO BÉ <3,1107,788,71.2
804858320013004,2430118194153667,HỘI REVIEW SỮA CÔNG THỨC,1665,1195,71.8
nuoiconbangsuacongthu,1025360546385232,Nuôi Con Bằng Sữa Công Thức,1388,1001,72.1
6183167068463220,27221283137558307,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,3022,2188,72.4
6183167068463220,27246166405069980,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1477,1070,72.4
184019427900518,639743112328145,REVIEW CÁC LOẠI SỮA CÔNG THỨC,1502,1098,73.1
hoiriviewsua,1172205141711713,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1242,910,73.3
nuoiconbangsuacongthu,1050086110579342,Nuôi Con Bằng Sữa Công Thức,1393,1025,73.6
939853694105892,1726362142121706,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1591,1184,74.4
hoiriviewsua,1245807024351524,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1235,930,75.3
6183167068463220,27182616671424954,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1460,1102,75.5
939853694105892,1697214345036486,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1248,942,75.5
nuoiconbangsuacongthu,1203550218566263,Nuôi Con Bằng Sữa Công Thức,1335,1011,75.7
6183167068463220,27250967924589828,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1348,1031,76.5
804858320013004,2424367791395374,HỘI REVIEW SỮA CÔNG THỨC,1848,1429,77.3
6183167068463220,27650018088018141,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1596,1242,77.8
804858320013004,2396717704160383,HỘI REVIEW SỮA CÔNG THỨC,509,396,77.8
183774529022936,2213387696061599,HỘI REVIEW BỈM SỮA CHO BÉ <3,1419,1113,78.4
nuoiconbangsuacongthu,1202683901986228,Nuôi Con Bằng Sữa Công Thức,1129,885,78.4
6183167068463220,27545083088511642,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1140,899,78.9
939853694105892,1700213328069921,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1406,1121,79.7
hoiriviewsua,1245807377684822,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1229,981,79.8
183774529022936,2213388592728176,HỘI REVIEW BỈM SỮA CHO BÉ <3,1491,1211,81.2
804858320013004,2424367404728746,HỘI REVIEW SỮA CÔNG THỨC,1811,1490,82.3
804858320013004,2334164320415722,HỘI REVIEW SỮA CÔNG THỨC,1913,1576,82.4
6183167068463220,27650012354685381,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1588,1333,83.9
reviewsuacongthuc,26329553526637923,Hội Review sữa công thức có tâm!!!,2036,1767,86.8
nuoiconbangsuacongthu,1183224730598812,Nuôi Con Bằng Sữa Công Thức,1727,1509,87.4
1710547889070752,25904190219279848,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,627,550,87.7
hoiriviewsua,1174168378182056,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1206,1085,90
6183167068463220,27560377856982165,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1002,905,90.3
6183167068463220,27211732445180043,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,981,902,91.9
6183167068463220,27640062845680332,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1005,927,92.2
6183167068463220,27178130371873584,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1034,968,93.6
6183167068463220,27283624054657548,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1012,950,93.9
